title,genre,imdb_rating
Baasha,Action,8.3
Muthu,Drama,7.7
Sivaji,Action,7.5
Enthiran,Sci-Fi,7.1
Padayappa,Drama,7.9
Annamalai,Drama,8.0
Thalapathi,Action,8.6
Kabali,Crime,6.2
Petta,Action,7.2
Jailer,Action,7.6
Darbar,Action,6.0
Chandramukhi,Horror,7.1
Kaala,Drama,6.7
Lingaa,Drama,5.6
Mannan,Drama,7.3
Guru,Drama,7.5
Moondru Mugam,Action,7.8
Apoorva Raagangal,Drama,8.3
Mullum Malarum,Drama,8.5
Johnny,Thriller,8.0
Aarilirunthu Arubathu Varai,Drama,8.2
Rajadhi Raja,Action,6.5
Nallavanukku Nallavan,Drama,7.0
Dharmathin Thalaivan,Drama,7.4
Uzhaippali,Drama,6.9
Arunachalam,Drama,7.1
Baba,Fantasy,5.4
Mappillai,Drama,6.9
Velaikkaran,Drama,7.6
Siva,Drama,7.8
6 Meesaiya Murukku,Drama,7.5
Alaipayuthey,Romance,8.3
OK Kanmani,Romance,7.4
Kaatru Veliyidai,Romance,6.1
Roja,Drama,8.2
Bombay,Drama,8.1
Dil Se,Romance,7.6
Kannathil Muthamittal,Drama,8.5
Guru (2007),Drama,7.8
Iruvar,Drama,8.5
Chekka Chivantha Vaanam,Crime,7.5
Nayakan,Crime,8.6
Thevar Magan,Drama,8.6
Mahanadhi,Drama,8.5
Indian,Action,8.1
Mudhalvan,Thriller,8.2
Anniyan,Thriller,8.3
Jeans,Romance,6.9
Boys,Drama,6.8
Kadhalan,Romance,7.4
Gentleman,Action,8.0
Dasavatharam,Sci-Fi,7.2
Vikram,Action,8.3
Kaithi,Action,8.5
Master,Action,7.8
Leo,Action,7.9
Varisu,Drama,6.0
Beast,Action,5.2
Bigil,Sports,6.9
Mersal,Action,7.7
Theri,Action,7.4
Kaththi,Action,8.1
Thuppakki,Action,8.1
Nanban,Drama,7.9
Ghilli,Action,8.0
Friends,Comedy,7.9
Poove Unakkaga,Romance,8.2
Kadhalukku Mariyadhai,Romance,8.1
Sachein,Romance,7.1
Pokkiri,Action,7.2
Villu,Action,3.7
Sura,Action,3.9
Vettaikaaran,Action,5.0
Kuruvi,Action,4.6
Azhagiya Tamil Magan,Romance,5.1
Velaiyilla Pattathari,Drama,7.8
Anegan,Thriller,6.7
Kodi,Political,7.0
Maari,Comedy,6.3
Maari 2,Comedy,5.6
Asuran,Drama,8.5
Vada Chennai,Crime,8.4
Polladhavan,Drama,7.7
Pudhupettai,Crime,8.4
Aadukalam,Drama,8.0
3,Romance,7.3
Mayakkam Enna,Drama,7.7
7aum Arivu,Sci-Fi,6.9
Ko,Thriller,7.9
Ratsasan,Thriller,8.4
Pizza,Thriller,7.6
Soodhu Kavvum,Crime,8.3
Jigarthanda,Crime,8.3
Kaaka Muttai,Drama,8.3
Super Deluxe,Drama,8.4
96,Romance,8.6
Soorarai Pottru,Drama,8.7
Jai Bhim,Drama,8.9
